会員ＮＯ,会社名,工場・<br>営業所,代表者名,役職,郵便<br>番号,住所,電話番号,FAX番号,代表者名<br>担当者名,役職,営業内容,工業会,,役職,氏名,Ｅ-mailアドレス,ホームページアドレス,工業会役職,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,㈱アオバサイエンス,,関本　満則,代表取締役社長,982-0032,宮城県仙台市太白区富沢1-5-30,022-243-1988,022-243-1441,一條　博,営業部　　　　　　　　シニアマネージャー,精密測定機・試験検査機器の販売,,,h.ichijo@aoba-science.co.jp,http://www.aoba-science.co.jp/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,㈱阿部製作所,,北上工場,阿部　文三,代表取締役,024-0002,岩手県北上市北工業団地1-9,0197-66-3121,0197-66-3122,鮎田　伸之,営業企画部長,精密金型・精密部品,,,n.ayuta@abe-jp.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,イースタン技研㈱,山形工場,河西　正彦,代表取締役社長,999-8438,山形県遊佐町遊佐西部工業団地1,0234-75-3815,0234-71-5112,河西　正彦　　辻　郷子,代表取締役社長,各種プレス金型設計、製作。各種専用機設計、製作,,,m.kawanishi@eastern-tech.co.jp　satoko.tsuji@eastern-tech.co.jp,http://www.eastern-tech.co.jp/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,石橋工業㈱,,石橋　秀郎,代表取締役社長,963-0112,福島県郡山市安積町成田字三渡1,024-945-3411,024-945-0176,石橋　秀郎,代表取締役社長,精密金属プレス加工･超深絞り加工･対向液圧加工･精密金型設計製作･各種溶接加工･アセンブリ,幹事,石橋　秀郎,shuro@ishibashi-tec.co.jp,,,office@ishibashi-tec.co.jp,http://www.ishibashi-tec.co.jp/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,㈱伊藤熱処理,,伊藤　裕章,代表取締役社長,990-0051,山形県山形市銅町1-8-38,023-622-9452,023-622-9431,伊藤　雄平,取締役副社長,金属熱処理全般・表面処理・機械加工熱処理,,,y-ito@inetu.jp,http://ｗｗｗ.hakusan.or.jp/inetu/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,岩機ダイカスト工業㈱,,鎌田　充志,代表取締役,989-2204,宮城県亘理郡山元町鷲足字山崎51-2,0223-37-3322,0223-37-3720,横山　廣人,専務取締役,ﾀﾞｲｶｽﾄ・金型,副会長,横山　廣人,h-yokoyama@iwakidc.co.jp,http://www.iwakidc.co.jp,会長,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,植田機械㈱,仙台営業所,鎌塚　順一,仙台営業所長,981-1106,宮城県仙台市太白区柳生２丁目25番地1　ﾒﾙﾍﾞｲﾕ柳生102,022-306-3821,022-306-3888,鎌塚　順一,仙台営業所長,金型工作機械、ｺﾝﾋﾟｭｰﾀｼｽﾃﾑ,,,ueda-sen@um-system.jp,http://www.um-system.jp/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,㈱ＮＣﾈｯﾄﾜｰｸ仙台,,宗山　仁士,代表取締役,981-3131,宮城県仙台市泉区七北田字山ノ寺7-4　ｵｰﾋﾗ泉ﾊﾞｲﾊﾟｽ２階,022-739-7517,022-739-7517,宗山　仁士,代表取締役,製造業向け広告宣伝に関する業務、インターネット間の接続業務の受託,,,souyama@nc-net.or.jp,http://www.nc-net.or.jp/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,㈱NTTﾃﾞｰﾀｴﾝｼﾞﾆｱﾘﾝｸﾞｼｽﾃﾑｽﾞ,東北出張所,木下　篤,代表取締役社長,989-3127,宮城県仙台市青葉区愛子東5丁目2-15,,,,,,,,,,,,,,,,,,,,,　ﾊﾟｰｸﾊｲﾑＩＩＩ203号,022-392-0267,022-392-0267,高野　勝弘,東北出張所<br>所長,３次元,ＣＡＤ/ＣＡＭ/CAE・生産管理システム等,幹事,大野　俊,ohno@nttd-es.co.jp,http://www.nttd-es.co.jp,幹事,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,㈱岡本工作機械製作所,仙台営業所,窪井　昭弘,所長,981-1106,宮城県仙台市太白区柳生7-2-5,ｼｬﾄﾙﾌﾟﾗｻﾞF3-1階,022-741-1777,022-741-1788,窪井　昭弘,所長,工作機械製造及び販売,,,kuboi@okamoto.co.jp,http://www.okamoto.co.jp/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
